dLQbcccdegj, tet1: 0, tet2: 2, searched: 1, height: 1
mLLLvAMQQccfhfkijjjklldwanfertaatsw, tet1: 10, tet2: 9, searched: 1345, height: 4
mLLLvAMQQccfhfkijjjklldwanfertaatss, tet1: 10, tet2: 9, searched: 976, height: 4
lLAvLAAQccbbhfggjjkkkhhrhxkrahhlc, tet1: 8, tet2: 6, searched: 959, height: 3
lLAwLMLQcbcbdfhikijkkhhjhfhoigics, tet1: 10, tet2: 6, searched: 74, height: 3
kLAwLMMkbcbdfhhijjjhhjhfhrwiil, tet1: 5, tet2: 7, searched: 29, height: 2
lLAvLAAQccbbhfggjjkkkhqjhxkrahhlc, tet1: 8, tet2: 6, searched: 979, height: 3
mLLPwzQzQbcefehhijklklpkhdhhhxrqqwj, tet1: 9, tet2: 4, searched: 2600, height: 4
kLLALAAkbddehghhijjevnmunlhdhr, tet1: 4, tet2: 8, searched: 161, height: 2
kLLALAAkbddehghhijjevnmunlhdqj, tet1: 4, tet2: 8, searched: 161, height: 2
jLALLPQcbbeghgiiiqqnnejvhdt, tet1: 8, tet2: 7, searched: 13, height: 1
jLAvAPQcbbggihihiqqnlqsjcrs, tet1: 6, tet2: 3, searched: 12, height: 1
mLLPzLAPQccdeggjilkkkltnomonqrexpaj, tet1: 7, tet2: 10, searched: 1154, height: 4
mLALLPzMQbcbffgijiklllhhwtenvivgrvb, tet1: 8, tet2: 10, searched: 1111, height: 4
mLLLLMPMQccgfijkiikllllwdrjdhkghgcg, tet1: 11, tet2: 7, searched: 868, height: 4
nLLzAvMQAkaceegilijllkmmnkxctkhrkttwhw, tet1: 8, tet2: 10, searched: 1140, height: 5
nLLALwMwQkacdefhhkjlmmmljkaiaorujlxlaw, tet1: 11, tet2: 9, searched: 445, height: 5
mLALLPzMQbcbffgijiklllxhntenvivgrvb, tet1: 8, tet2: 10, searched: 1088, height: 4
nLLMvMwQMkacefihhjljllmmnktflmrfijushk, tet1: 11, tet2: 5, searched: 1289, height: 5
mLALPvAAQbcbefgjjikkllhhwstllccaavn, tet1: 10, tet2: 5, searched: 496, height: 4
mLALPvAMQbcbefghjjklllxxjnxtmgvttnf, tet1: 11, tet2: 7, searched: 727, height: 4
nLLLLPLMQkcceggjhimmllkmdwewvarnqwwrkk, tet1: 11, tet2: 10, searched: 1474, height: 5
mLALPvAAQbcbefgjjikkllxhnstllccaavn, tet1: 10, tet2: 5, searched: 496, height: 4
nLALPvwQMkbcbegfjijllmlmxxjnuppgjauhgr, tet1: 10, tet2: 7, searched: 1673, height: 5
