id,oriented,tetrahedra,flat count,negative count
PLLLwAAMPzMzMzMzMzMzMzMzMzMPcbdfggijhklmknopqrstuvwxyzABCDEFGHIJKLMNOOOhgahbaawxaajaaaaaaaaaaaaaaaaaaaaaaaaaaaann,0,41,35,0
PLLLwQzMMzMzMzMzMzMzMzMzMzMPcbedfighjkljmnopqrstuvwxyzABCDEFGHIJKLMNOOOaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,41,36,0
RLLLwMAMMzMzMzMzMzMzMzMzMzMzMkbedgijghkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQQQaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,43,38,0
PLLAMzMzMzMzMzMzMzMzMzMzMzMPcbcedfghijklmnopqrstuvwxyzABCDEFGHIJKLMNOOOlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,41,38,0
RLLLMAMzMzMzMzMzMzMzMzMzMzMzMkcdgfefhijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQQQasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,43,39,0
QLLLAPzMMzMzMzMzMzMzMzMzMzMzQbefgfihjkljmnopqrstuvwxyzABCDEFGHIJKLMNOPPPaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaatt,0,42,37,0
SLLLwMAMMzMzMzMzMzMzMzMzMzMzMPcbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRRRaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,44,39,0
OLMzMzMzMzMzMzMzMzMzMzMzMzMkbcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNNNaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxpi,0,40,38,0
SLLLwMQzMzMzMzMzMzMzMzMzMzMzMPcbedgigjhhklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRRRaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaass,0,44,40,0
RLLLwAAMPzMzMzMzMzMzMzMzMzMzMkbdfggijhklmknopqrstuvwxyzABCDEFGHIJKLMNOPQQQhgahbaawxaajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaann,0,43,37,0
RLLLwQzMMzMzMzMzMzMzMzMzMzMzMkbedfighjkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQQQaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,43,38,0
TLLLwMAMMzMzMzMzMzMzMzMzMzMzMzQbedgijghkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSSSaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,45,40,0
RLLAMzMzMzMzMzMzMzMzMzMzMzMzMkbcedfghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQQQlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,43,40,0
TLLLMAMzMzMzMzMzMzMzMzMzMzMzMzQcdgfefhijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSSSasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,45,41,0
SLLLAPzMMzMzMzMzMzMzMzMzMzMzMPcbefgfihjkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRRRaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaatt,0,44,39,0
ULLLwMAMMzMzMzMzMzMzMzMzMzMzMzMkbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTTTaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,46,41,0
QLMzMzMzMzMzMzMzMzMzMzMzMzMzQbcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPPPaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxet,0,42,40,0
ULLLwMQzMzMzMzMzMzMzMzMzMzMzMzMkbedgigjhhklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTTTaafhaoajkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaass,0,46,42,0
TLLLwAAMPzMzMzMzMzMzMzMzMzMzMzQbdfggijhklmknopqrstuvwxyzABCDEFGHIJKLMNOPQRSSShgahbaawxaajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaann,0,45,39,0
TLLLwQzMMzMzMzMzMzMzMzMzMzMzMzQbedfighjkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSSSaafhasjhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,45,40,0
VLLLwMAMMzMzMzMzMzMzMzMzMzMzMzMPcbedgijghkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUUUaafhahjjaanaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajj,0,47,42,0
TLLAMzMzMzMzMzMzMzMzMzMzMzMzMzQbcedfghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSSSlsajaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaadd,0,45,42,0
VLLLMAMzMzMzMzMzMzMzMzMzMzMzMzMPccdgfefhijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUUUasaassoaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaamm,0,47,43,0
ULLLAPzMMzMzMzMzMzMzMzMzMzMzMzMkbefgfihjkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTTTaadldafhaakaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaatt,0,46,41,0
WLLLwMAMMzMzMzMzMzMzMzMzMzMzMzMzQbedgigjhkljmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVVVaafhaohfaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaii,0,48,43,0
SLMzMzMzMzMzMzMzMzMzMzMzMzMzMPcbcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRRRaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahxpi,0,44,42,0
